id,name,orga_type,country,language,statement_url,normalized_statement_names,amount_characters
1,Alabama Digital Humanities Center - ADHC,University,USA,EN,https://adhc.lib.ua.edu/about/,About,1638
2,Austrian Centre for Digital Humanities – OEAW,non-university,AUT,EN,https://www.oeaw.ac.at/acdh/about/mission,Mission,2203
4,Center for Applied Technologies in the Humanities - CATH,University,CAN,EN,https://circa.ualberta.ca/?page_id=2,About,747
5,Center for Digital Humanities,University,USA,EN,https://cdh.princeton.edu/about/,Mission,2709
6,Center for Digital Humanities Perm State University,University,RUS,EN,http://dh.psu.ru/en/,none,4113
7,Center for Digital Research In Humanities,University,USA,EN,https://cdrh.unl.edu/about/aboutcdrh,About,16143
8,Center for Digital Scholarship,University,USA,EN,https://library.brown.edu/create/cds/about/,Mission,2092
9,Center for Geographic Analysis,University,USA,EN,https://gis.harvard.edu/about,About,1465
10,Center for History and New Media,University,USA,EN,https://rrchnm.org/about/,Mission,1899
11,Center for Public History - Digital Humanities,University,USA,EN,https://csudigitalhumanities.org/about/mission/,Mission,1523
12,Center for Humanities and Digital Research (CHDR),University,USA,EN,https://chdr.cah.ucf.edu/about.html,About Us,734
13,Center of Digital Humanities Research,University,USA,EN,http://codhr.dh.tamu.edu/mission-statement/,Mission Statement,2052
14,Centre for Digital Humanities,University,CAN,EN,https://www.torontomu.ca/centre-digital-humanities/about/,Mission Statement,3947
15,Centre for Digital Humanities - Eötvös Loránd University,University,HUN,EN,https://elte-dh.hu/en/about-us/,about us,709
17,"Centre for Research in Arts, Social Sciences and Humanities",University,GBR,EN,https://www.cdh.cam.ac.uk/about/,About,3757
19,CSUN Center for the Digital Humanities,University,USA,EN,https://www.csun.edu/digitalhumanities/mission,Mission,4029
20,Digital Humanities Advanced Research Centre,University,ITA,EN,https://centri.unibo.it/dharc/en/centre/centre-description,About,2979
21,Digital Humanities Hub,University,AUS,EN,https://cdhr.cass.anu.edu.au/about,About,2890
22,Digitales,University,ESP,EN,https://linhd.uned.es/what-is-linhd/?lang=en,About,8537
23,Electronic Textual Cultures Lab,University,CAN,EN,https://etcl.uvic.ca/values/,Values,1767
24,Emory Center for Digital Scholarship,University,USA,EN,https://digitalscholarship.emory.edu/about/index.html,about,763
25,Göttingen Centre for Digital Humanities - GCDH,University,DEU,EN,https://www.gcdh.de/en/about/about-us/,about us,2011
26,HASTAC,University,USA,EN,https://www.hastac.org/about-hastac,about,2861
27,Humanities and Critical Code Studies (Haccs) Lab,University,USA,EN,http://haccslab.com/about/,about,2692
28,Humanities Computing and Media Centre,University,CAN,EN,https://www.uvic.ca/humanities/hcmc/aboutus/index.php,about us,2151
29,Humanities Computing at Leiden University,University,NLD,EN,https://www.universiteitleiden.nl/en/humanities/centre-for-digital-humanities/about,about,2405
30,Humanities Research Institute - HRI,University,GBR,EN,https://www.sheffield.ac.uk/arts-humanities/research/humanities-research-institute,none,578
31,HyperStudio,University,USA,EN,http://hyperstudio.mit.edu/about/,Mission,3135
32,IATH,University,USA,EN,http://www.iath.virginia.edu/mission.html,Mission,3884
33,Institute for Digital Research in the Humanities,University,USA,EN,https://idrh.ku.edu/mission,mission,2492
34,Institute for Digital Arts and Humanities,University,USA,EN,https://idah.indiana.edu/about/strat-plan/index.html,About,5549
35,Interdisciplinary Research & Informatics Scholarship Center,University,USA,EN,https://iris.siue.edu/about/,Mission Statement,9711
36,Istituto di Linguistica Computazionale,University,ITA,EN,http://www.ilc.cnr.it/en/content/institute,none,2155
37,King's Digital Lab,University,GBR,EN,https://kdl.kcl.ac.uk/how-we-work/philosophy/,Philosophy,2443
38,Loyola Center for Textual Studies and Digital Humanities,University,USA,EN,https://www.luc.edu/ctsdh/about/,about,2546
39,Maryland Institute for Technology in the Humanities (MITH),University,USA,EN,https://mith.umd.edu/values/,Our values,1872
40,MATRIX Center for Digital Humanities and Social Sciences,University,USA,EN,https://matrix.msu.edu/about,about,1801
41,Oxford e-Research Centre,University,GBR,EN,https://oerc.ox.ac.uk/about/,about,1531
42,Research in Computing for Humanities,University,USA,EN,https://www.rch.uky.edu/index.html,mission statement,1413
43,Scholar's Lab,University,USA,EN,https://scholarslab.lib.virginia.edu/about/,about,19582
