id,name,orga_type,country,statement_url,statement_name,language
1,Alabama Digital Humanities Center - ADHC,University,USA,https://adhc.lib.ua.edu/about/,About,EN
2,Austrian Centre for Digital Humanities – OEAW,non-university,AUT,https://www.oeaw.ac.at/acdh/about/mission,Mission,EN
3,Bereich Historische Fachinformatik,University,DEU,https://www.geschichte.hu-berlin.de/de/bereiche-und-lehrstuehle/histfi/profil,Profil,DE
4,Center for Applied Technologies in the Humanities - CATH,University,CAN,https://circa.ualberta.ca/?page_id=2,About,EN
5,Center for Digital Humanities,University,USA,https://cdh.princeton.edu/about/,Mission Statement,EN
6,Center for Digital Humanities Perm State University,University,RUS,http://dh.psu.ru/en/,,EN
7,Center for Digital Research In Humanities,University,USA,https://cdrh.unl.edu/about/aboutcdrh,about,EN
8,Center for Digital Scholarship,University,USA,https://library.brown.edu/create/cds/about/,Our Mission,EN
9,Center for Geographic Analysis,University,USA,https://gis.harvard.edu/about,About,EN
10,Center for History and New Media,University,USA,https://rrchnm.org/about/,Mission,EN
11,Center for Public History - Digital Humanities,University,USA,https://csudigitalhumanities.org/about/mission/,Mission,EN
12,Center for Humanities and Digital Research (CHDR),University,USA,https://chdr.cah.ucf.edu/about.html,About Us,EN
13,Center of Digital Humanities Research,University,USA,http://codhr.dh.tamu.edu/mission-statement/,Mission Statement,EN
14,Centre for Digital Humanities,University,CAN,https://www.torontomu.ca/centre-digital-humanities/about/,Mission Statement,EN
15,Centre for Digital Humanities - Eötvös Loránd University,University,HUN,https://elte-dh.hu/en/about-us/,about us,EN
16,Centre for Information Modelling – ACDH,University,AUT,https://informationsmodellierung.uni-graz.at/de/institut/unser-auftrag/,Unser Auftrag,DE
17,"Centre for Research in Arts, Social Sciences and Humanities",University,GBR,https://www.cdh.cam.ac.uk/about/,About,EN
18,CRIHN,University,CAN,https://www.crihn.org/crihn/objectifs-et-missions/,Objectifs et Missions,FR
19,CSUN Center for the Digital Humanities,University,USA,https://www.csun.edu/digitalhumanities/mission,,EN
20,Digital Humanities Advanced Research Centre,University,ITA,https://centri.unibo.it/dharc/en/centre/centre-description,Description,EN
21,Digital Humanities Hub,University,AUS,https://cdhr.cass.anu.edu.au/about,About,EN
22,Digitales,University,ESP,https://linhd.uned.es/what-is-linhd/?lang=en,what is,EN
23,Electronic Textual Cultures Lab,University,CAN,https://etcl.uvic.ca/values/,Values,EN
24,Emory Center for Digital Scholarship,University,USA,https://digitalscholarship.emory.edu/about/index.html,about,EN
25,Göttingen Centre for Digital Humanities - GCDH,University,DEU,https://www.gcdh.de/en/about/about-us/,about us,EN
26,HASTAC,University,USA,https://www.hastac.org/about-hastac,about,EN
27,Humanities and Critical Code Studies (Haccs) Lab,University,USA,http://haccslab.com/about/,about,EN
28,Humanities Computing and Media Centre,University,CAN,https://www.uvic.ca/humanities/hcmc/aboutus/index.php,about us,EN
29,Humanities Computing at Leiden University,University,NLD,https://www.universiteitleiden.nl/en/humanities/centre-for-digital-humanities/about,about,EN
30,Humanities Research Institute - HRI,University,GBR,https://www.sheffield.ac.uk/arts-humanities/research/humanities-research-institute,,EN
31,HyperStudio,University,USA,http://hyperstudio.mit.edu/about/,Mission,EN
32,IATH,University,USA,http://www.iath.virginia.edu/mission.html,Mission,EN
33,Institute for Digital Research in the Humanities,University,USA,https://idrh.ku.edu/mission,mission,EN
34,Institute for Digital Arts and Humanities,University,USA,https://idah.indiana.edu/about/strat-plan/index.html,About our strategic plan,EN
35,Interdisciplinary Research & Informatics Scholarship Center,University,USA,https://iris.siue.edu/about/,Mission Statement,EN
36,Istituto di Linguistica Computazionale,University,ITA,http://www.ilc.cnr.it/en/content/institute,,EN
37,King's Digital Lab,University,GBR,https://kdl.kcl.ac.uk/how-we-work/philosophy/,Our philosophy,EN
38,Loyola Center for Textual Studies and Digital Humanities,University,USA,https://www.luc.edu/ctsdh/about/,about,EN
39,Maryland Institute for Technology in the Humanities (MITH),University,USA,https://mith.umd.edu/values/,Our values,EN
40,MATRIX Center for Digital Humanities and Social Sciences,University,USA,https://matrix.msu.edu/about,about,EN
41,Oxford e-Research Centre,University,GBR,https://oerc.ox.ac.uk/about/,about,EN
42,Research in Computing for Humanities,University,USA,https://www.rch.uky.edu/index.html,mission statement,EN
43,Scholar's Lab,University,USA,https://scholarslab.lib.virginia.edu/about/,about,EN
44,Stanford Literary Lab,University,USA,https://litlab.stanford.edu/,about,EN
45,The Lewis and Ruth Sherman Centre for Digital Scholarship,University,CAN,https://scds.ca/what-we-do/,what we do,EN
46,Trier Center for Digital Humanities,University,DEU,https://tcdh.uni-trier.de/en/profile,mission statement,EN
